participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.residence,player.age,player.gender,player.strategy_1,player.strategy_2,player.strategy_3,player.payoff_selfS1_otherS1,player.payoff_selfS1_otherS2,player.payoff_selfS1_otherS3,player.payoff_selfS2_otherS1,player.payoff_selfS2_otherS2,player.payoff_selfS2_otherS3,player.payoff_selfS3_otherS1,player.payoff_selfS3_otherS2,player.payoff_selfS3_otherS3,player.decision,group.id_in_subsession,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,e847z2hb,,0,60,61,shopping_game_3x3,ResultsSummary,2021-04-07 11:12:48.378259+00:00,1,,,44,1,,5,Bern,2,2,buy article,postpone purchase,change to another store,5,5,1,0,0,0,3,3,3,buy article,1,1,4exb6vdm,,,,,0
2,kknddavn,,0,60,61,shopping_game_3x3,ResultsSummary,2021-04-07 11:15:44.634911+00:00,1,,,8,2,,3,bern,2,2,low availability,high availability,on order inventory,4,-1,-1,3,-2,-2,4,0,0,high availability,1,1,4exb6vdm,,,,,0
1,e847z2hb,,0,60,61,shopping_game_3x3,ResultsSummary,2021-04-07 11:12:48.378259+00:00,1,,,44,1,,5,,,,buy article,postpone purchase,change to another store,5,5,1,0,0,0,3,3,3,buy article,1,2,4exb6vdm,,,,,0
2,kknddavn,,0,60,61,shopping_game_3x3,ResultsSummary,2021-04-07 11:15:44.634911+00:00,1,,,8,2,,4,,,,low availability,high availability,on order inventory,4,-1,-1,3,-2,-2,4,0,0,low availability,1,2,4exb6vdm,,,,,0
1,e847z2hb,,0,60,61,shopping_game_3x3,ResultsSummary,2021-04-07 11:12:48.378259+00:00,1,,,44,1,,3,,,,buy article,postpone purchase,change to another store,5,5,1,0,0,0,3,3,3,change to another store,1,3,4exb6vdm,,,,,0
2,kknddavn,,0,60,61,shopping_game_3x3,ResultsSummary,2021-04-07 11:15:44.634911+00:00,1,,,8,2,,0,,,,low availability,high availability,on order inventory,4,-1,-1,3,-2,-2,4,0,0,on order inventory,1,3,4exb6vdm,,,,,0
1,e847z2hb,,0,60,61,shopping_game_3x3,ResultsSummary,2021-04-07 11:12:48.378259+00:00,1,,,44,1,,5,,,,buy article,postpone purchase,change to another store,5,5,1,0,0,0,3,3,3,buy article,1,4,4exb6vdm,,,,,0
2,kknddavn,,0,60,61,shopping_game_3x3,ResultsSummary,2021-04-07 11:15:44.634911+00:00,1,,,8,2,,3,,,,low availability,high availability,on order inventory,4,-1,-1,3,-2,-2,4,0,0,high availability,1,4,4exb6vdm,,,,,0
1,e847z2hb,,0,60,61,shopping_game_3x3,ResultsSummary,2021-04-07 11:12:48.378259+00:00,1,,,44,1,,5,,,,buy article,postpone purchase,change to another store,5,5,1,0,0,0,3,3,3,buy article,1,5,4exb6vdm,,,,,0
2,kknddavn,,0,60,61,shopping_game_3x3,ResultsSummary,2021-04-07 11:15:44.634911+00:00,1,,,8,2,,4,,,,low availability,high availability,on order inventory,4,-1,-1,3,-2,-2,4,0,0,low availability,1,5,4exb6vdm,,,,,0
1,e847z2hb,,0,60,61,shopping_game_3x3,ResultsSummary,2021-04-07 11:12:48.378259+00:00,1,,,44,1,,3,,,,buy article,postpone purchase,change to another store,5,5,1,0,0,0,3,3,3,change to another store,1,6,4exb6vdm,,,,,0
2,kknddavn,,0,60,61,shopping_game_3x3,ResultsSummary,2021-04-07 11:15:44.634911+00:00,1,,,8,2,,0,,,,low availability,high availability,on order inventory,4,-1,-1,3,-2,-2,4,0,0,on order inventory,1,6,4exb6vdm,,,,,0
1,e847z2hb,,0,60,61,shopping_game_3x3,ResultsSummary,2021-04-07 11:12:48.378259+00:00,1,,,44,1,,3,,,,buy article,postpone purchase,change to another store,5,5,1,0,0,0,3,3,3,change to another store,1,7,4exb6vdm,,,,,0
2,kknddavn,,0,60,61,shopping_game_3x3,ResultsSummary,2021-04-07 11:15:44.634911+00:00,1,,,8,2,,0,,,,low availability,high availability,on order inventory,4,-1,-1,3,-2,-2,4,0,0,on order inventory,1,7,4exb6vdm,,,,,0
1,e847z2hb,,0,60,61,shopping_game_3x3,ResultsSummary,2021-04-07 11:12:48.378259+00:00,1,,,44,1,,3,,,,buy article,postpone purchase,change to another store,5,5,1,0,0,0,3,3,3,change to another store,1,8,4exb6vdm,,,,,0
